구분,고급휘발유,보통휘발유,자동차용경유
2025년04월13일,1908.82,1648.63,1514.76
2025년04월14일,1910.68,1647.33,1513.56
2025년04월15일,1909.43,1644.91,1511.40
2025년04월16일,1907.79,1642.49,1509.05
2025년04월17일,1906.68,1640.54,1507.15
2025년04월18일,1905.60,1639.14,1505.83
2025년04월19일,1901.96,1637.35,1503.82
2025년04월20일,1901.95,1636.95,1503.40
2025년04월21일,1904.47,1636.42,1503.25
2025년04월22일,1903.91,1635.36,1501.93
2025년04월23일,1903.94,1634.67,1501.50
2025년04월24일,1903.48,1634.38,1501.09
2025년04월25일,1903.61,1634.24,1501.12
2025년04월26일,1900.78,1633.68,1500.70
2025년04월27일,1900.85,1633.50,1500.53
2025년04월28일,1904.06,1634.54,1501.47
2025년04월29일,1904.91,1634.95,1501.78
2025년04월30일,1905.22,1635.54,1502.58
2025년05월01일,1910.63,1638.80,1505.70
2025년05월02일,1912.42,1639.53,1506.94
2025년05월03일,1909.19,1639.64,1506.76
2025년05월04일,1909.53,1639.91,1506.89
2025년05월05일,1911.17,1640.51,1507.24
2025년05월06일,1911.71,1639.80,1506.51
2025년05월07일,1912.00,1639.72,1506.67
2025년05월08일,1910.59,1638.94,1505.77
2025년05월09일,1909.88,1638.54,1504.96
2025년05월10일,1905.02,1637.29,1503.77
2025년05월11일,1904.96,1637.44,1503.45
2025년05월12일,1907.84,1637.71,1503.88
2025년05월13일,1907.69,1637.39,1503.40
2025년05월14일,1907.08,1637.25,1503.14
2025년05월15일,1906.96,1637.12,1502.83
2025년05월16일,1906.42,1636.77,1502.41
2025년05월17일,1902.58,1636.00,1501.29
2025년05월18일,1902.46,1635.90,1501.08
2025년05월19일,1905.53,1636.37,1501.82
2025년05월20일,1905.49,1636.05,1501.36
2025년05월21일,1905.00,1635.66,1500.90
2025년05월22일,1904.42,1635.18,1500.26
2025년05월23일,1904.06,1634.89,1499.81
2025년05월24일,1900.33,1634.01,1498.85
2025년05월25일,1899.83,1633.65,1498.53
2025년05월26일,1903.24,1634.18,1498.95
2025년05월27일,1902.64,1633.65,1498.30
2025년05월28일,1902.17,1632.96,1497.56
